
	Moeda	Material	Cen.	Tp.aval.	Texto breve material	TMat	Grp.merc.	UMB	ClAv.	         Preço	Últ.modif.	Criado/a	 por

	BRL	26	5120		ARRANJO,ANCORAGEM,DUPLO,2 CABOS CAA	ERSA	9718	CJ	0212	        79,02	20.12.2025	CARGAS_S4	  1
	BRL	34	5120		ARRANJO,SUSPENSÃO,SIMPLES,2 CABOS CAA 45	ERSA	9718	CJ	0212	        78,27	20.12.2025	CARGAS_S4	  1
	BRL	42	5120		ARRANJO,SUSPENSÃO,DUPLO,2 CABOS CAA 456,	ERSA	9718	CJ	0212	        75,82	20.12.2025	CARGAS_S4	  1
	BRL	91	5120		CILINDRO,16120301,ALTA PRESSÃO,P/COMPRES	ERSA	4381	PEÇ	0570	       391,27	20.12.2025	CARGAS_S4	  1
	BRL	109	5120		CILINDRO,16120300,BAIXA PRESSÃO,P/COMPRE	ERSA	4381	PEÇ	0570	         0,21	20.12.2025	CARGAS_S4	  1
	BRL	117	5120		ANEL,COMPRESSÃO,16121867,P/COMPRESSOR UT	HIBE	4381	PEÇ	0999	         3,00	20.12.2025	CARGAS_S4	100
	BRL	125	5120		ANEL,RASPADOR,16121868,P/COMPRESSOR UT85	HIBE	4381	PEÇ	0999	         3,00	20.12.2025	CARGAS_S4	100
	BRL	133	5120		PISTÃO,16121872,ALTA PRESSÃO,P/COMPRESSO	ERSA	4381	PEÇ	0570	         1,29	20.12.2025	CARGAS_S4	  1
	BRL	141	5120		PINO,BIELA,16120313,P/COMPRESSOR UT85DD,	HIBE	4381	PEÇ	0999	         7,00	20.12.2025	CARGAS_S4	100
	BRL	158	5120		PISTÃO,16121871,BAIXA PRESSÃO,P/COMPRESS	ERSA	4381	PEÇ	0570	         1,39	20.12.2025	CARGAS_S4	  1
	BRL	166	5120		ANEL,RASPADOR,16121866,P/COMPRESSOR UT85	HIBE	4381	PEÇ	0999	         5,00	20.12.2025	CARGAS_S4	100
	BRL	174	5120		ANEL,COMPRESSÃO,16121865,P/COMPRESSOR UT	HIBE	4381	PEÇ	0999	         5,00	20.12.2025	CARGAS_S4	100
	BRL	182	5120		VÁLVULA,10022279-80,DESCARGA,P/COMPRESSO	ERSA	4381	PEÇ	0570	         0,45	20.12.2025	CARGAS_S4	  1
	BRL	190	5120		VÁLVULA,10022272-80,ADMISSÃO,P/COMPRESSO	HIBE	4381	PEÇ	0999	         0,45	20.12.2025	CARGAS_S4	  1
	BRL	208	5120		DISCO,VÁLVULA,D 68mm,10022276,P/COMPRESS	ERSA	4381	PEÇ	0570	         1,00	20.12.2025	CARGAS_S4	100
	BRL	216	5120		DISCO,VÁLVULA,D 49mm,10022277,P/COMPRESS	ERSA	4381	PEÇ	0570	         1,00	20.12.2025	CARGAS_S4	100
	BRL	224	5120		ANEL,SEGURANÇA,16121606,TEFLON,P/COMPRES	HIBE	4381	PEÇ	0999	         9,00	20.12.2025	CARGAS_S4	100
	BRL	232	5120		ANEL,VEDAÇÃO,16121607,SEGMENTO,VÁLVULA A	HIBE	4381	PEÇ	0999	         2,00	20.12.2025	CARGAS_S4	100
	BRL	315	5120		PEÇAS,RESERVA,P/SECCIONADOR,TRIPOLAR,550	ERSA	9098	CJ	0151	     2.189,06	20.12.2025	CARGAS_S4	  1
	BRL	1776	5120		SUCATA,FERRO.	HIBE	9905	KG	0998	         0,00	23.03.2026	CARGAS_S4	100
	BRL	1784	5120		SUCATA,CABO DE AÇO.	HIBE	9905	KG	0998	         0,00	23.03.2026	CARGAS_S4	  1
	BRL	1826	5120		SUCATA,BOQUILHA(BASE/CASQUILHO),P/LÂMPAD	HIBE	9990	KG	0998	         0,23	04.03.2026	CARGAS_S4	  1
	BRL	1834	5120		SUCATA,BRONZE,MISTA.	HIBE	9901	KG	0998	         1,00	23.03.2026	CARGAS_S4	  1
	BRL	1842	5120		SUCATA,ALUMÍNIO,(EXCLUI CABOS E FIOS).	HIBE	9905	KG	0998	         0,00	23.03.2026	CARGAS_S4	  1
	BRL	1859	5120		CORDOALHA,AÇO,DN 3/8",EHS,7 FIOS,ZINCADO	ERSA	4020	KG	0214	         6,32	20.12.2025	CARGAS_S4	  1
	BRL	1867	5120		SUCATA,COBRE (EXCLUI CABO E FIO CONDUTOR	HIBE	9903	KG	0998	         0,00	23.03.2026	CARGAS_S4	  1
	BRL	1875	5120		CANTONEIRA,USADA.	HIBE	9716	KG	0990	         1,00	20.12.2025	CARGAS_S4	100
	BRL	1891	5120		TRILHO USADO,DIVERSAS BITOLAS,INTEIROS O	HIBE	9718	M	0999	         0,01	20.12.2025	CARGAS_S4	  1
	BRL	2089	5120		CARTUCHO,N 65,PÓ,ÓXIDO COBRE E ALUMÍNIO,	ERSA	2175	PEÇ	0212	         0,00	20.12.2025	CARGAS_S4	  1
	BRL	2139	5120		ELETRODO,DN 3,25mm,AWS E-NIFE-CI,P/SOLDA	HIBE	3426	KG	0999	         2,00	20.12.2025	CARGAS_S4	  1
	BRL	2154	5120		CABO,AÇO,DN 7/16",6X41+AF,POLIDO,TORÇÃO	ERSA	4020	M	0212	         5,31	20.12.2025	CARGAS_S4	  1
	BRL	2162	5120		ELETRODO,DN 3,25mm,AWS E-CU,COBRE,UTP39,	HIBE	3426	KG	0999	         1,00	20.12.2025	CARGAS_S4	100
	BRL	2170	5120		ELETRODO,DN 2,50mm,AWS E-7018G,P/SOLDAGE	HIBE	3426	KG	0999	         2,00	20.12.2025	CARGAS_S4	  1
	BRL	2220	5120		BARRA,RETANGULAR,40X30mm,AÇO SAE-1020,CO	HIBE	9510	KG	0999	         0,01	20.12.2025	CARGAS_S4	  1
	BRL	2253	5120		BARRA,CONDUTORA,ALUMÍNIO,DN 38,1mm(1.1/2	HIBE	9540	KG	0999	         0,01	20.12.2025	CARGAS_S4	  1
	BRL	2386	5120		CABO,AÇO,DN 5/8",6X25F,ALMA AÇO EIPS,TOR	ERSA	4020	KG	0214	         3,61	20.12.2025	CARGAS_S4	  1
	BRL	2394	5120		CABO,AÇO,DN 11/16",19 FIOS,ZINCADO A QUE	ERSA	4020	KG	0214	         3,62	20.12.2025	CARGAS_S4	  1
	BRL	2436	5120		CABO,AÇO,DN 7/8",37 FIOS,ZINCADO A QUENT	ERSA	4020	KG	0214	        26,57	20.12.2025	CARGAS_S4	  1
	BRL	2444	5120		CORDOALHA,AÇO,DN 7/16",EHS,7 FIOS,ZINCAD	ERSA	4020	KG	0214	         3,21	20.12.2025	CARGAS_S4	  1
	BRL	2485	5120		BARRA,CONDUTORA,COBRE,50,8X6,4mm(2X1/4")	ERSA	2141	KG	0091	        36,36	20.12.2025	CARGAS_S4	  1
	BRL	2519	5120		CABO,AÇO,DN 13/16",37 FIOS,ZINCADO A QUE	ERSA	4020	KG	0214	         3,91	20.12.2025	CARGAS_S4	  1
	BRL	2931	5120		CORDOALHA,AÇO,DN 1/4",SM,7 FIOS,ZINCADO	ERSA	4020	KG	0214	         2,91	14.04.2026	CARGAS_S4	  1
	BRL	2949	5120		CORDOALHA,AÇO,DN 5/16",HS,7 FIOS,ZINCADO	ERSA	4020	KG	0214	         7,21	13.02.2026	CARGAS_S4	  1
	BRL	2956	5120		CORDOALHA,AÇO,DN 3/8",SM,7 FIOS,ZINCADO	ERSA	4020	KG	0214	         1,75	20.12.2025	CARGAS_S4	  1
	BRL	2964	5120		CORDOALHA,AÇO,DN 3/8",HS,7 FIOS,ZINCADO	ERSA	4020	KG	0214	         6,53	14.04.2026	CARGAS_S4	  1
	BRL	2972	5120		FIO,AÇO,DN 6,04mm(4),BAIXO TEOR CARBONO,	ERSA	9718	KG	0590	         2,96	13.02.2026	CARGAS_S4	  1
	BRL	2980	5120		ARAME,AÇO,DN 2,76mm(12),BAIXO TEOR CARBO	HIBE	4010	KG	0999	         8,15	03.04.2026	CARGAS_S4	  1
	BRL	2998	5120		ARAME,AÇO,DN 2,1mm(14),BAIXO TEOR CARBON	HIBE	4010	KG	0999	         3,45	20.12.2025	CARGAS_S4	  1
	BRL	3103	5120		ELETRODO,DN 2,5mm,AWS E-6013,P/SOLDAGEM	HIBE	3426	KG	0999	         0,01	20.12.2025	CARGAS_S4	  1
	BRL	3111	5120		ELETRODO,DN 3,25mm,AWS E-6013,P/SOLDAGEM	HIBE	3426	KG	0999	         3,00	20.12.2025	CARGAS_S4	  1
	BRL	3137	5120		SOLDA,EM FIO,50X50,DN 1,5mm,C/FLUXO,EMBA	HIBE	3431	PEÇ	0999	         1,00	20.12.2025	CARGAS_S4	100
	BRL	3152	5120		VARETA,DN 3mm,LATÃO,P/SOLDAGEM.	HIBE	3426	KG	0999	         1,00	20.12.2025	CARGAS_S4	100
	BRL	3160	5120		BARRA,RETANGULAR,76,2X12,7mm,ALUMÍNIO,LI	HIBE	9540	PEÇ	0999	        86,38	20.12.2025	CARGAS_S4	  1
	BRL	3319	5120		ALAVANCA,271.188/001,ARTICULADA,COMANDO	HIBE	9213	PEÇ	0999	        63,62	20.12.2025	CARGAS_S4	  1
	BRL	3327	5120		CONTATOR,447.979/001,INVERSOR PNEUMÁTICO	HIBE	9213	PEÇ	0999	     1.952,85	20.12.2025	CARGAS_S4	  1
	BRL	3335	5120		KIT,VEDAÇÃO,REPARO MACACO HIDRÁULICO 463	ERSA	9213	CJ	0250	       676,78	20.12.2025	CARGAS_S4	  1
	BRL	3343	5120		CONJUNTO,VEDAÇÃO,REPARO MACACO HIDRÁULIC	HIBE	9213	CJ	0999	       548,63	20.12.2025	CARGAS_S4	  1
	BRL	3350	5120		CONJUNTO,VEDAÇÃO,REPARO MACACO HIDRÁULIC	HIBE	9213	CJ	0999	       637,73	20.12.2025	CARGAS_S4	  1
	BRL	3483	5120		PAPEL,ISOLANTE,ESPESSURA 0,40mm,ISOLEX.	HIBE	8671	KG	0999	         0,01	20.12.2025	CARGAS_S4	  1
	BRL	3525	5120		ÓLEO,MINERAL,ISOLANTE,USADO,A SER REGENE	HIBE	9150	L	0999	         0,00	13.02.2026	CARGAS_S4	  1
	BRL	3533	5120		ESPAGUETE,DN 8mm,PLÁSTICO,COR PRETA.	HIBE	8661	M	0999	         1,00	20.12.2025	CARGAS_S4	100
	BRL	3616	5120		FITA,ISOLANTE,ADESIVA,19mmX20m,BRANCA,PV	HIBE	8660	ROL	0999	         1,04	07.04.2026	CARGAS_S4	100
	BRL	3673	5120		FITA,ISOLANTE,ADESIVA,19mmX20m,AMARELA,P	HIBE	8660	ROL	0999	         1,04	13.04.2026	CARGAS_S4	100
	BRL	3681	5120		FITA,ISOLANTE,ADESIVA,19mmX20m,VERMELHA,	HIBE	8660	ROL	0999	         1,04	13.04.2026	CARGAS_S4	100
	BRL	3707	5120		CADARÇO,FIBRA VIDRO,LARGURA 25mm,ESPESSU	HIBE	9430	ROL	0999	         0,01	20.12.2025	CARGAS_S4	  1
	BRL	3715	5120		FITA,ISOLANTE,ADESIVA,19mmX20m,AZUL,PVC.	HIBE	8660	ROL	0999	         1,00	13.04.2026	CARGAS_S4	100
	BRL	3764	5120		SOLVENTE,P/TINTA ISOLANTE UREFLEX,EMBALA	HIBE	8675	PEÇ	0999	        14,54	20.12.2025	CARGAS_S4	  1
	BRL	3780	5120		ÓLEO,MINERAL,ISOLANTE,NAFTÊNICO,REGENERA	HIBE	9150	L	0999	         0,99	04.03.2026	CARGAS_S4	  1
	BRL	3871	5120		ÓLEO,MINERAL,ISOLANTE,NAFTÊNICO.	HIBE	9150	L	0999	         4,65	26.02.2026	CARGAS_S4	  1
	BRL	3947	5120		FITA,ISOLANTE,25mmX9m,ESPESSURA MÍNIMA 0	HIBE	8668	ROL	0999	        65,90	30.03.2026	CARGAS_S4	  1
